participant_id,date,time,sensor,value,unit,device_model,source,type
U3884527492,2026-02-28,18:55:13,lamp.steps,4248.443104678998,meter,,daily pedometer,distance
U3884527492,2026-02-28,18:55:13,lamp.steps,1.076614982783345,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-02-28,18:55:13,lamp.steps,10,count,,daily pedometer,floors_ascended
U3884527492,2026-02-28,18:55:13,lamp.steps,27,count,,daily pedometer,floors_descended
U3884527492,2026-02-28,18:55:12,lamp.steps,7256,count,,daily pedometer,step_count
U3884527492,2026-02-28,18:55:12,lamp.steps,4248.443104678998,meter,,daily pedometer,distance
U3884527492,2026-02-28,18:55:12,lamp.steps,1.076614982783345,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-02-28,18:55:12,lamp.steps,10,count,,daily pedometer,floors_ascended
U3884527492,2026-02-28,18:55:12,lamp.steps,27,count,,daily pedometer,floors_descended
U3884527492,2026-02-28,18:55:10,lamp.steps,7256,count,,daily pedometer,step_count
U3884527492,2026-02-28,18:55:10,lamp.steps,4248.443104678998,meter,,daily pedometer,distance
U3884527492,2026-02-28,18:55:10,lamp.steps,1.076614982783345,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-02-28,18:55:10,lamp.steps,10,count,,daily pedometer,floors_ascended
U3884527492,2026-02-28,18:55:10,lamp.steps,27,count,,daily pedometer,floors_descended
U3884527492,2026-02-28,15:28:34,lamp.steps,2223,count,,daily pedometer,step_count
U3884527492,2026-02-28,15:28:34,lamp.steps,1320.6234902353026,meter,,daily pedometer,distance
U3884527492,2026-02-28,15:28:34,lamp.steps,1.0174644854761654,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-02-28,15:28:34,lamp.steps,2,count,,daily pedometer,floors_ascended
U3884527492,2026-02-28,15:28:34,lamp.steps,12,count,,daily pedometer,floors_descended
U3884527492,2026-02-28,15:28:33,lamp.steps,2223,count,,daily pedometer,step_count
U3884527492,2026-02-28,15:28:33,lamp.steps,1320.6234902353026,meter,,daily pedometer,distance
