participant_id,date,time,sensor,z,x,y
U7773079877,2026-02-28,12:15:23,lamp.accelerometer,-6.253654956817627,-6.3302693367004395,3.687070608139038
U7773079877,2026-02-28,11:15:23,lamp.accelerometer,-5.2672438621521,8.178592681884766,-1.6759412288665771
U7773079877,2026-02-28,10:15:23,lamp.accelerometer,-5.228936672210693,8.130708694458008,-1.6759412288665771
U7773079877,2026-02-28,09:15:23,lamp.accelerometer,-5.315127849578857,8.197746276855469,-1.7046716213226318
U7773079877,2026-02-28,08:15:23,lamp.accelerometer,-5.286397457122803,8.130708694458008,-1.6855180263519287
U7773079877,2026-02-28,07:15:23,lamp.accelerometer,-5.2672438621521,8.216899871826172,-1.6280571222305298
U7773079877,2026-02-28,06:15:23,lamp.accelerometer,-5.2672438621521,8.092401504516602,-1.7142484188079834
U7773079877,2026-02-28,05:15:23,lamp.accelerometer,-5.257667064666748,8.216899871826172,-1.7334020137786865
U7773079877,2026-02-28,04:15:23,lamp.accelerometer,-5.324704647064209,8.159439086914062,-1.6950948238372803
U7773079877,2026-02-28,03:15:23,lamp.accelerometer,-5.2672438621521,8.197746276855469,-1.7142484188079834
U7773079877,2026-02-28,02:15:23,lamp.accelerometer,-5.295974254608154,8.255207061767578,-1.6759412288665771
U7773079877,2026-02-28,01:15:23,lamp.accelerometer,-5.238513469696045,8.178592681884766,-1.647210717201233
U7773079877,2026-02-28,00:15:23,lamp.accelerometer,-5.3342814445495605,8.149862289428711,-1.656787633895874
U7773079877,2026-02-27,23:15:23,lamp.accelerometer,-5.20978307723999,8.130708694458008,-1.6950948238372803
U7773079877,2026-02-27,22:15:23,lamp.accelerometer,-5.3342814445495605,8.159439086914062,-1.7621324062347412
U7773079877,2026-02-27,21:15:23,lamp.accelerometer,-4.845864295959473,8.580819129943848,0.07661445438861847
U7773079877,2026-02-27,20:15:23,lamp.accelerometer,-4.8267107009887695,8.667010307312012,0.05746084079146385
U7773079877,2026-02-27,19:15:23,lamp.accelerometer,-4.778826713562012,8.676587104797363,0.09576806426048279
U7773079877,2026-02-27,18:15:23,lamp.accelerometer,-7.680599212646484,4.6255974769592285,-4.242525577545166
U7773079877,2026-02-27,17:15:23,lamp.accelerometer,7.115567684173584,4.491522312164307,5.07570743560791
U7773079877,2026-02-27,16:15:23,lamp.accelerometer,9.84495735168457,0.4596867263317108,0.31603461503982544
U7773079877,2026-02-27,15:15:23,lamp.accelerometer,9.854534149169922,0.4405331015586853,0.3447650372982025
U7773079877,2026-02-27,14:15:23,lamp.accelerometer,9.864110946655273,0.4118026793003082,0.28730419278144836
U7773079877,2026-02-27,13:15:23,lamp.accelerometer,9.816226959228516,0.507570743560791,0.26815059781074524
